transaction_id,channel,geography,amount_usd,anomaly_score,is_fraud
TXN-2026-00001,E-Commerce Online,Luar Jawa,374.03,0.318,0
TXN-2026-00002,ATM Withdrawal,Luar Jawa,454.62,0.278,0
TXN-2026-00003,E-Commerce Online,Jawa Barat,345.5,0.218,0
TXN-2026-00004,POS Terminal,Luar Jawa,438.39,0.454,1
TXN-2026-00005,Mobile Banking,Jawa Barat,136.76,0.518,1
TXN-2026-00006,POS Terminal,Jawa Timur,480.93,0.449,0
TXN-2026-00007,POS Terminal,DKI Jakarta,299.58,0.083,0
TXN-2026-00008,E-Commerce Online,Jawa Barat,288.2,0.959,1
TXN-2026-00009,Mobile Banking,Jawa Barat,364.7,0.085,0
TXN-2026-00010,E-Commerce Online,DKI Jakarta,316.33,0.257,0
TXN-2026-00011,POS Terminal,Luar Jawa,279.19,0.251,0
TXN-2026-00012,POS Terminal,Jawa Timur,318.41,0.271,0
TXN-2026-00013,POS Terminal,Jawa Timur,319.28,0.017,0
TXN-2026-00014,POS Terminal,DKI Jakarta,381.5,0.288,0
TXN-2026-00015,E-Commerce Online,Jawa Timur,363.12,0.339,0
TXN-2026-00016,ATM Withdrawal,Jawa Timur,315.91,0.395,0
TXN-2026-00017,POS Terminal,DKI Jakarta,252.79,0.042,0
TXN-2026-00018,ATM Withdrawal,Luar Jawa,180.68,0.492,1
TXN-2026-00019,Mobile Banking,Jawa Timur,199.78,0.945,1
TXN-2026-00020,ATM Withdrawal,Jawa Barat,576.07,0.493,1
TXN-2026-00021,Mobile Banking,Jawa Timur,497.24,0.297,0
TXN-2026-00022,E-Commerce Online,Luar Jawa,174.77,0.518,1
TXN-2026-00023,ATM Withdrawal,Jawa Barat,463.46,0.433,0
TXN-2026-00024,ATM Withdrawal,Jawa Timur,252.32,0.191,0
TXN-2026-00025,POS Terminal,Jawa Barat,510.74,0.53,1
TXN-2026-00026,ATM Withdrawal,Jawa Barat,200.78,0.944,1
TXN-2026-00027,POS Terminal,Jawa Timur,222.39,0.632,1
TXN-2026-00028,E-Commerce Online,Jawa Timur,225.04,0.245,0
TXN-2026-00029,E-Commerce Online,Jawa Timur,574.86,0.5,1
TXN-2026-00030,E-Commerce Online,Jawa Timur,345.86,0.387,0
TXN-2026-00031,Mobile Banking,Jawa Barat,60.67,0.556,1
TXN-2026-00032,E-Commerce Online,Jawa Barat,160.41,0.375,0
TXN-2026-00033,Mobile Banking,Jawa Barat,461.71,0.27,0
TXN-2026-00034,E-Commerce Online,Jawa Barat,282.57,0.196,0
TXN-2026-00035,POS Terminal,Luar Jawa,195.72,0.925,1
TXN-2026-00036,E-Commerce Online,Jawa Barat,318.78,0.091,0
TXN-2026-00037,ATM Withdrawal,DKI Jakarta,346.81,0.053,0
